Nombre;Estado;Código;no_pp;sum_val_oa
OBRA INFRAESTRUCTURA TELXIUS;Aceptada;345;CAPEX TELXIUS NUEVOS EMPLAZAMIENTOS;8.309,00 €
OBRA INFRAESTRUCTURA TELXIUS;Aceptada;345;CAPEX TELXIUS NUEVOS EMPLAZAMIENTOS;19.255,00 €
INFRA IMPL UMTS;Aceptada;345;CAPEX TELXIUS NUEVOS EMPLAZAMIENTOS;26.975,00 €
INFRA. INICIAL TELXIUS;Aceptada;345;CAPEX TELXIUS NUEVOS EMPLAZAMIENTOS;18.364,43 €
OBRA DE INFRAESTRUCTURA;Aceptada;345;CAPEX TELXIUS NUEVOS EMPLAZAMIENTOS;5.915,00 €
INFRA IMPL UMTS 2100;Aceptada;345;CAPEX TELXIUS NUEVOS EMPLAZAMIENTOS;20.175,00 €
IMPLANTACIÓN U2100 INFRA;Aceptada;333;CAPEX TELXIUS NUEVOS EMPLAZAMIENTOS;52.478,08 €
INFRA INICIAL TELXIUS;Aceptada;333;CAPEX TELXIUS NUEVOS EMPLAZAMIENTOS;12.609,70 €
INFRA. INICIAL TELXIUS;Aceptada;333;CAPEX TELXIUS NUEVOS EMPLAZAMIENTOS;9.309,79 €
INFRAESTRUCTURA NUEVA EB;Aceptada;333;CAPEX TELXIUS NUEVOS EMPLAZAMIENTOS;16.987,00 €
INFRAESTRUCTURA NUEVA EB;Aceptada;333;CAPEX TELXIUS NUEVOS EMPLAZAMIENTOS;19.085,00 €
OBRA DE INFRAESTRUCTURA;Aceptada;333;CAPEX TELXIUS NUEVOS EMPLAZAMIENTOS;12.590,00 €
INFRA. INICIAL TELXIUS;Aceptada;333;CAPEX TELXIUS NUEVOS EMPLAZAMIENTOS;9.258,14 €
INFRA. INICIAL TELXIUS;Aceptada;333;CAPEX TELXIUS NUEVOS EMPLAZAMIENTOS;12.929,23 €
INFRA. INICIAL TELXIUS;Aceptada;333;CAPEX TELXIUS NUEVOS EMPLAZAMIENTOS;12.734,51 €
IMPLANTACIÓN U900 2P INFRA;Aceptada;333;CAPEX TELXIUS NUEVOS EMPLAZAMIENTOS;78.596,50 €
OBRA INFRA TELXIUS;Aceptada;333;CAPEX TELXIUS NUEVOS EMPLAZAMIENTOS;39.902,16 €
OBRA DE INFRAESTRUCTURA;Aceptada;333;CAPEX TELXIUS NUEVOS EMPLAZAMIENTOS;12.000,00 €
OBRA DE INFRAESTRUCTURA;Aceptada;333;CAPEX TELXIUS NUEVOS EMPLAZAMIENTOS;23.866,00 €
INFRAESTRUCTURA IMPLANTACION;Aceptada;333;CAPEX TELXIUS NUEVOS EMPLAZAMIENTOS;7.910,00 €
INSTALACIÓN INFRAESTRUTURA;Aceptada;333;CAPEX TELXIUS NUEVOS EMPLAZAMIENTOS;26.149,91 €
